No;Name;Grade;Year
1;IPFGPSB WGYFAOH;5.175860762;1920
2;QQXMWNH IVDSUVZ;8.269385729;1943
3;XNWOJIG UHTNVDD;1.249027731;1989
4;GOXQUEK HYRTMEW;8.179368811;1963
5;DBBXDBN ISTDPNA;0.20221082;1937
6;XPTDXUT NCTUNRF;7.7446564;1953
7;NXVXTPK QTCEGML;7.19762603;1926
8;RRGANHU RHCMJXE;9.975655397;1983
9;QPYRGZT QAXWGAJ;4.311423921;1989
10;ZLFIPUD MVHZBDU;4.32770888;1901
11;ASUGZVT AHIAGKD;6.536819204;1984
12;FFCENHF EGQKWER;8.422885979;1961
13;LMVKHTA OFBGXRX;3.833211208;1956
14;GXYOYVC OIBGMVP;7.787198926;1949
15;HHBJYJH VVFLFXZ;1.882951593;1953
16;DQSVQKA WDFNBAN;6.311645234;1915
17;ZIIPVZS CZBMXQQ;9.151588083;1901
18;EURRAQX EGVFZCJ;5.639335488;1941
19;OMWZNHU OCRBMJB;8.57030667;1990
20;PWPLQBQ ISZHLQX;2.654822085;2016
21;BKRISAW DVGPKGZ;5.34048093;2016
22;QBOMQAS PDUZGGY;4.232752541;1935
23;YTZEUDI TTGQPBJ;2.030261341;2010
24;NRTHENL AEDGIAU;9.180067093;1989
25;LDWNAUQ NTKYDNB;9.165709494;1920
26;NNWWAXQ PNTDDAF;7.674068664;1958
27;XYFFPYT TQMFOBQ;9.219149869;1949
28;VEELFQV FLRUYXK;8.797478877;1903
29;ZIALEXR OSKHDKW;3.793048458;1994
30;IRVINIW TKMBEPE;3.997478351;1980
31;GHHPOAN UYRTZCX;2.837177091;1979
32;VMHOIPW XVGKKCV;4.062948731;1971
33;HVGWMZD VDIKPTK;5.159165697;1944
34;XKLYMKP SUBXONX;4.15861348;1976
35;ABERVWW PKSIIJE;1.680706686;2011
36;CLSLVDX IGFZYMO;9.097587475;1992
37;ENDWHXD ZQKJOCW;3.127486479;1996
38;DBOFJKY VYHFUYQ;9.817875446;1930
39;KWJWCTR UPUATWB;2.082427919;1964
40;ZGEWEBQ KKFIYWF;4.238329385;1976
41;OEZFOKG LIKEAPY;5.210638323;1943
42;ATEYSEJ ZKTJJHW;9.711000533;1926
43;UKRKMXW BKTFVWU;1.403234935;2008
44;QZHNKRM IEBBPUR;5.365993978;1916
45;OCHEDWY PAOGEXX;8.233826562;1992
46;DISQYZN NEADXII;3.366553904;1957
47;RGWBSCY QFEOXGQ;4.01387311;1908
48;NTLYBVZ QQMQIQC;3.749804426;1953
49;GUTXYWK HPZQXUO;2.895576758;2001
50;LFQRWWY OSUSRVE;8.144548965;2008
51;CTMWEWK DNEXFYA;0.337100199;1918
52;SZLKUNN YPJRTYK;3.723075984;1935
53;EHFBBVZ LBHCWGK;4.804097137;1997
54;JPQAVTU CBCAYCU;6.072342323;1964
55;JTSHUQO FLYUQZP;6.911827799;2012
56;ENQFXLT DQWLQIE;5.566833756;1991
57;QYSRQCO NBGFKPB;2.884460057;1905
58;MNJVAVT GXIEIOF;8.79793235;1941
59;TBTQEWY AICGAQR;7.150884001;1905
60;OCXREAO PDNAOVP;9.408990147;1948
61;QUMVKJP YEKMMZK;7.622071326;1912
62;QBFBZLN VDMSMLO;4.146961522;2008
63;EJOEIAU WCEZLUD;9.974598119;2015
64;FFCQPFN SWFTHCA;6.777245478;2007
65;RXFBEEV VMYFBJG;3.345244754;1973
66;AVDBZFY HDVEKCG;3.599542616;1907
67;YQCEYHW TMLURWW;8.896910171;2009
68;MUNRWKM HTMOWJZ;6.267298874;1995
69;BGFXOKJ YLPBETA;0.59310938;1947
70;XOFIAEL CJKHMKU;7.0011361;1996
71;BHIUHYQ VCBPCGE;3.992007782;1928
